Name,Path,Status,Cohort,Cohort_Copy,Year
Unnamed record,The KICKSTARTER,Application,6th,6,2021
BASKETBALL LEBRON JAMES 23,The KICKSTARTER,Application,6th,6,2021
Unnamed record,The KICKSTARTER,Application,6th,6,2021
GameOn,The LAUNCHER,Application,6th,6,2021
Unnamed record,The LAUNCHER,Application,6th,6,2021
Orderly,The LAUNCHER,Denied,6th,6,2021
ChatPDFbASKETBALL,The LAUNCHER,Application,6th,6,2021
Near me,The KICKSTARTER,Denied,6th,6,2021
reMASK,The KICKSTARTER,Denied,6th,6,2021
Spokus Focus,The KICKSTARTER,Denied,6th,6,2021
Yes we do speak English,The KICKSTARTER,Opted Out,6th,6,2021
Sol,The KICKSTARTER,Denied,6th,6,2021
route.ai? (no name yet),The KICKSTARTER,Denied,6th,6,2021
Ofir Englander,The KICKSTARTER,Denied,6th,6,2021
Mind Trainer (Sixth Cohort),The KICKSTARTER,Denied,6th,6,2021
Zavat,The KICKSTARTER,Denied,6th,6,2021
vsm-virtual student mall,The KICKSTARTER,Opted Out,6th,6,2021
Fakenews hunter,The KICKSTARTER,Denied,6th,6,2021
Pie-Live Life Easy,The KICKSTARTER,Denied,6th,6,2021
Swift Response,The KICKSTARTER,Denied,6th,6,2021
hubrary,The KICKSTARTER,Waiting For Money,6th,6,2021
NWoBD,The KICKSTARTER,Denied,6th,6,2021
Gardinio,The KICKSTARTER,Denied,6th,6,2021
AlcoBid,The KICKSTARTER,Opted Out,6th,6,2021
Full body safety harness,The KICKSTARTER,Denied,6th,6,2021
StopBot,The KICKSTARTER,Opted Out,6th,6,2021
Indepen.Date,The KICKSTARTER,Denied,6th,6,2021
spidey watch,The KICKSTARTER,Denied,6th,6,2021
CT-City,The KICKSTARTER,Opted Out,6th,6,2021
[Automations] - No Deal Found,The KICKSTARTER,,6th,6,2021
Gotcha,The KICKSTARTER,Waiting For Money,6th,6,2021
SynCon,The KICKSTARTER,Denied,6th,6,2021
Marineford,The KICKSTARTER,Denied,6th,6,2021
