Faculty,Startup,Cohort,Gender,Cohort_Copy,Year
,AllerBite,11th,,11.0,2024
,,,,,
,,,,,
Health Sciences,,,Female,,
,,,Prefer not to disclose,,
Health Sciences,,,Prefer not to disclose,,
Business and Management,,,Male,,
Business and Management,,,Female,,
,,,,,
,,,,,
,,,,,
Business and Management,,,Male,,
,[Automations] - No Deal Found,6th,,6.0,2021
Humanities and Social Sciences,🌵 🎓PhotoFly,Cactus Academy,,,
Engineering,🌵 🎓Diamond,Cactus Academy,,,
Engineering,🌵 🎓Glitter,Cactus Academy,,,
Health Sciences,🌵 🎓jolly,Cactus Academy,,,
,ShoppyFit,9th,Male,9.0,2023
Engineering,Darts on Demand 2,5th,,5.0,2021
Engineering,Darts On Demand,4th,,4.0,2020
,ZENAT,8th,Male,8.0,2022
Engineering,ThetaFlow,11th,Female,11.0,2024
Business and Management,,,Female,,
Engineering,,,Female,,
Humanities and Social Sciences,,,Female,,
Natural Sciences,AllerBite,11th,Female,11.0,2024
,myDojo,7th,Male,7.0,2022
Natural Sciences,Mind Trainer (Sixth Cohort),6th,Female,6.0,2021
Business and Management,,,Female,,
Natural Sciences,BugAI,7th,Female,7.0,2022
Natural Sciences,TheraPlay,5th,,5.0,2021
Engineering,BugAI,7th,Prefer not to disclose,7.0,2022
Humanities and Social Sciences,Shalev,11th,Male,11.0,2024
Engineering,Car parking application,4th,,4.0,2020
,ShoppyFit,9th,Female,9.0,2023
Engineering,smart socks,7th,Female,7.0,2022
Engineering,first aid for anaphylaxis,7th,Female,7.0,2022
Humanities and Social Sciences,Dia-bes,7th,Male,7.0,2022
Engineering,Sympato,10th,Male,10.0,2023
,VisualDiff,Current,Male,,
Engineering,Hear Clear,9th,Male,9.0,2023
Engineering,Acoustic Device,9th,Male,9.0,2023
Engineering,Quicker roads,5th,,5.0,2021
,Liquid360,10th,Female,10.0,2023
Health Sciences,Perla Medical,6th,Female,6.0,2021
Engineering,Plant-Sitter,10th,Male,10.0,2023
Engineering,AI traveling agent,10th,Male,10.0,2023
Health Sciences,Israspa,7th,Male,7.0,2022
Engineering,Alon,7th,Male,7.0,2022
Health Sciences,ORO,7th,Male,7.0,2022
Natural Sciences,ANY,10th,Male,10.0,2023
Engineering,Prostate Cancer – Two Ways of Treatment,5th,,5.0,2021
,Optimizing Doctor Appointments,7th,Male,7.0,2022
Engineering,"""Automato system , startup : AgriTech Innovations""",11th,Male,11.0,2024
Health Sciences,WOXYGEN,10th,Male,10.0,2023
Natural Sciences,Tréno!,5th,,5.0,2021
Natural Sciences,Athena,10th,Male,10.0,2023
Natural Sciences,Orderly,,Male,,
Natural Sciences,Tréno,6th,Male,6.0,2021
Engineering,InSolution,8th,Male,8.0,2022
Engineering,Lucid Sales,6th,Male,6.0,2021
Engineering,StepAhead,11th,Male,11.0,2024
Natural Sciences,TripTip,10th,Male,10.0,2023
Engineering,Lucid Sales,6th,Male,6.0,2021
Engineering,Robot for Coronavirus (COVID-19)`,5th,,5.0,2021
Business and Management,AllerBite,11th,Female,11.0,2024
Natural Sciences,Test Me,4th,,4.0,2020
Humanities and Social Sciences,🌵 🎓 easystream,Cactus Academy,,,
Humanities and Social Sciences,Sol,6th,Male,6.0,2021
Engineering,RELOW,6th,Male,6.0,2021
Engineering,Yarden,7th,Female,7.0,2022
Natural Sciences,Treepo,4th,,4.0,2020
no,National young women parliament in the shadow of the corona,5th,,5.0,2021
Engineering,Full body safety harness,6th,Male,6.0,2021
Natural Sciences,MyTorch,7th,Male,7.0,2022
,Friendly - AI-powered matching system that connects nearby city moms based on needs and proximity,11th,Female,11.0,2024
Natural Sciences,Green Home Fresher,11th,Male,11.0,2024
Business and Management,Co-Beauty,8th,Male,8.0,2022
Business and Management,RichIQ,6th,Male,6.0,2021
Engineering,Infolin,10th,Male,10.0,2023
Engineering,3D4Israel,10th,Male,10.0,2023
Humanities and Social Sciences,Stats.,7th,Male,7.0,2022
,myDojo,7th,Male,7.0,2022
Engineering,reMASK,6th,Male,6.0,2021
Engineering,cross by,5th,,5.0,2021
Engineering,Manteca AI,6th,Male,6.0,2021
Natural Sciences,AeroAid,Current,Male,,
Engineering,Kazoom,4th,,4.0,2020
,a secure computation of operating system,7th,Female,7.0,2022
Engineering,workit,9th,Female,9.0,2023
Natural Sciences,SkillSwipe,7th,Male,7.0,2022
Natural Sciences,RELOW,6th,Male,6.0,2021
Natural Sciences,Confessions,5th,,5.0,2021
Health Sciences,STEP Bypass Prosthesis,11th,Male,11.0,2024
Business and Management,MedKeeper,5th,,5.0,2021
Engineering,Summer internships for students in Israel,5th,,5.0,2021
,Biskits,5th,,5.0,2021
Business and Management,CT-City,6th,,6.0,2021
Natural Sciences,Pie-Live Life Easy,6th,Male,6.0,2021
Natural Sciences,Fakenews hunter,6th,Male,6.0,2021
Natural Sciences,Blabber,11th,Male,11.0,2024
Humanities and Social Sciences,it doesn't have a name yet,7th,Male,7.0,2022
Humanities and Social Sciences,Shalom Hebrew,5th,,5.0,2021
Natural Sciences,Skils,7th,Male,7.0,2022
Natural Sciences,SafeTalk,4th,,4.0,2020
Engineering,Sensora,9th,Female,9.0,2023
Engineering,Yob,8th,Male,8.0,2022
Natural Sciences,workit,9th,Female,9.0,2023
Engineering,unmask,7th,Male,7.0,2022
Engineering,Accessible self-learning platform,7th,Male,7.0,2022
Business and Management,TheraPlay,7th,Male,7.0,2022
Business and Management,TheraPlay,5th,,5.0,2021
,myDojo,7th,Male,7.0,2022
Humanities and Social Sciences,Savanna Sun,4th,,4.0,2020
Business and Management,HouStudent,4th,,4.0,2020
Engineering,Biskits,5th,,5.0,2021
Health Sciences,REUS,11th,Female,11.0,2024
Health Sciences,Customized Podcast,10th,Female,10.0,2023
Health Sciences,ORO,7th,Female,7.0,2022
Business and Management,GoBalance,5th,,5.0,2021
Engineering,JobU,11th,Male,11.0,2024
Natural Sciences,Aspectral,9th,Male,9.0,2023
Natural Sciences,StopBot,6th,,6.0,2021
Business and Management,לש,5th,,5.0,2021
Engineering,Bionix,5th,,5.0,2021
Engineering,the ZVOOV system,4th,,4.0,2020
Engineering,Schedj - A simple platform for managing small projects,5th,,5.0,2021
Humanities and Social Sciences,SynCon,6th,Male,6.0,2021
Natural Sciences,Groupidy,5th,,5.0,2021
,Click,10th,Male,10.0,2023
Engineering,Spokus Focus,6th,Male,6.0,2021
Humanities and Social Sciences,Lucid Sales,6th,,6.0,2021
Engineering,IntelliTennis,8th,Male,8.0,2022
Humanities and Social Sciences,spidey watch,6th,,6.0,2021
Engineering,workit,9th,Male,9.0,2023
Engineering,Merom,10th,Male,10.0,2023
Engineering,Gotcha,6th,,6.0,2021
Humanities and Social Sciences,OutWork,5th,,5.0,2021
Natural Sciences,a web platform dedicated to podcasts,9th,Male,9.0,2023
Natural Sciences,Flare,5th,,5.0,2021
Engineering,Blabber,11th,Male,11.0,2024
Humanities and Social Sciences,no final name currently,9th,Male,9.0,2023
,vacation planner based on AI,9th,Male,9.0,2023
Natural Sciences,Just Food,7th,Male,7.0,2022
Natural Sciences,Just Food,7th,Male,7.0,2022
Natural Sciences,The Negev Soundscape,5th,,5.0,2021
Engineering,Social Order,11th,Male,11.0,2024
Engineering,SocialOrder,9th,Male,9.0,2023
,Acneowledge,11th,Female,11.0,2024
,M-adas,7th,Male,7.0,2022
Natural Sciences,AeroAid,Current,Male,,
Business and Management,🌵 🎓PhotoFly,Cactus Academy,,,
Engineering,Count Me In The Office,4th,,4.0,2020
Health Sciences,Crispr Stem & Therapeutics Ltd,5th,,5.0,2021
Business and Management,Face2Face,11th,Male,11.0,2024
Business and Management,NeuroAudit,5th,,5.0,2021
,,,Prefer not to disclose,,
Natural Sciences,Acoustic Device,9th,Female,9.0,2023
Humanities and Social Sciences,Doggy,5th,,5.0,2021
Humanities and Social Sciences,doggy,4th,,4.0,2020
Engineering,WOXYGEN,10th,Female,10.0,2023
Natural Sciences,,,Male,,
Engineering,workout form correction,11th,Male,11.0,2024
Engineering,PLAIBOOK,11th,Male,11.0,2024
Health Sciences,THERAPEUTICAI,11th,Male,11.0,2024
Engineering,HiDrop,4th,,4.0,2020
Engineering,Study Buddy,5th,,5.0,2021
Engineering,Darts on Demand 2,5th,,5.0,2021
Engineering,Darts On Demand,4th,,4.0,2020
Engineering,GeniuScout,4th,,4.0,2020
Humanities and Social Sciences,refill,4th,,4.0,2020
Engineering,CommonSense,10th,Female,10.0,2023
Engineering,Home Diagnosis for Breast Cancer,7th,Female,7.0,2022
Health Sciences,KICK,Checks,Male,,
Business and Management,ImpactNow,Checks,Male,,
IT,Confessions,5th,,5.0,2021
Natural Sciences,"""Digital Twin—IoT and Soil-Crop Imaging, a Robust smart Farming Solution""",Current,Male,,
Engineering,CHECKISTHEBEST,Checks,Male,,
Engineering,DFCHECK,Checks,Male,,
Natural Sciences,DFCHECK,Checks,Female,,
Engineering,CHECKISTHEBEST,Checks,Male,,
Health Sciences,DFCheck2,Checks,Male,,
Engineering,BASKET-AI,Checks,Male,,
Engineering,Colorfly,8th,Male,8.0,2022
Natural Sciences,Comberie,5th,,5.0,2021
Business and Management,Cutt,10th,Male,10.0,2023
Engineering,ElectroBlock,8th,Male,8.0,2022
Engineering,Choosey,7th,Male,7.0,2022
Humanities and Social Sciences,Tango,7th,Male,7.0,2022
Business and Management,Spokus Focus,6th,Female,6.0,2021
Natural Sciences,coffee front,8th,Male,8.0,2022
Engineering,soilio,9th,Male,9.0,2023
Health Sciences,Mingle-pool,10th,Male,10.0,2023
Engineering,EduVision,7th,Male,7.0,2022
Cyber industry ex-payoneer (formal curse),NFThrone,6th,Male,6.0,2021
Engineering,EduVision,7th,Male,7.0,2022
Engineering,AVIS,7th,Male,7.0,2022
Engineering,EduVision,5th,,5.0,2021
No student,hubrary,6th,Male,6.0,2021
Engineering,Smart - Cage,6th,Male,6.0,2021
Engineering,Smart-Cage,5th,,5.0,2021
Engineering,LoBigDeal,7th,Male,7.0,2022
Engineering,Gotcha,8th,Male,8.0,2022
Engineering,AI Learning,5th,,5.0,2021
Engineering,spidey watch,6th,,6.0,2021
Online communities & Social experience,Groupidy,5th,,5.0,2021
Engineering,Study Buddy,5th,,5.0,2021
Business and Management,efCut,4th,,4.0,2020
Engineering,Wood tech,8th,Male,8.0,2022
Natural Sciences,cepo,11th,Male,11.0,2024
Natural Sciences,Gama,8th,Male,8.0,2022
Engineering,LifeGuard-AI,6th,Male,6.0,2021
Engineering,AI Trainer,7th,Male,7.0,2022
Engineering,🌵🎓rainbow,Cactus Academy,,,
Humanities and Social Sciences,manager,9th,Male,9.0,2023
Business and Management,Biskits,5th,,5.0,2021
Only Zohar is studding at BSU,Pick-share: location base application for sharing stuff.,6th,Male,6.0,2021
Design,penpal,5th,,5.0,2021
Natural Sciences,Nitro-gen,8th,Male,8.0,2022
Engineering,EIO,11th,Male,11.0,2024
,The DocMapper,10th,Male,10.0,2023
,WiseWatch,10th,Male,10.0,2023
Engineering,Algo-Rhythm,11th,Male,11.0,2024
Humanities and Social Sciences,Wolp,8th,Male,8.0,2022
Humanities and Social Sciences,UniWorksity,7th,Male,7.0,2022
,Liquid360,10th,Male,10.0,2023
Engineering,Avatar Bill,9th,Male,9.0,2023
Business and Management,neuro+,8th,Male,8.0,2022
Engineering,MoodSense,5th,,5.0,2021
Engineering,the ZVOOV system,4th,,4.0,2020
,THERAPEUTICAI,11th,Male,11.0,2024
Business and Management,Peazy.com,8th,Female,8.0,2022
Humanities and Social Sciences,MilliCare,9th,Male,9.0,2023
Engineering,Cor-e,4th,,4.0,2020
,MapIt,10th,Male,10.0,2023
Natural Sciences,Wheat Vertical Farming,4th,,4.0,2020
Engineering,JukeBox,5th,,5.0,2021
,Third eye,10th,Male,10.0,2023
Health Sciences,i.vus,9th,Male,9.0,2023
Health Sciences,i.vus,8th,Male,8.0,2022
Engineering,"""Probably """"NGF"""" for next-gen filters.""",4th,,4.0,2020
Engineering,Scoot-Walker,11th,Male,11.0,2024
Engineering,foodata,9th,Male,9.0,2023
,Maxovary,8th,Male,8.0,2022
Engineering,Two ideas:1- virtuals school app  ased on 3 min videos for learning2:streamer with built in camera to help elder people communicate through tv,8th,Male,8.0,2022
,virtual school,7th,Male,7.0,2022
Humanities and Social Sciences,Indonesia Israel Center,8th,Male,8.0,2022
Engineering,Darts on Demand 2,5th,,5.0,2021
Engineering,Darts On Demand,4th,,4.0,2020
Humanities and Social Sciences,GeniuScout,4th,,4.0,2020
Engineering,A SLEEP-AID FORMULATION COMPRISING IMMEDIATE RELEASE AND DELAYED- RELEASE COMPOSITIONS;,11th,Male,11.0,2024
Humanities and Social Sciences,StudentWear,11th,Male,11.0,2024
Health Sciences,PAOZA,11th,Male,11.0,2024
Business and Management,DIP,10th,Female,10.0,2023
Humanities and Social Sciences,real,10th,Male,10.0,2023
Health Sciences,ChangeIT,8th,Male,8.0,2022
Engineering,Dingo Rest,5th,,5.0,2021
,Boobies,7th,Female,7.0,2022
Engineering,Click,10th,Female,10.0,2023
Engineering,CloseCard,8th,Male,8.0,2022
Natural Sciences,TicketMarket,11th,Male,11.0,2024
Engineering,Apartments App,11th,Male,11.0,2024
Engineering,workit,9th,Male,9.0,2023
Engineering,Tango,7th,Female,7.0,2022
Business and Management,MorEPower,4th,,4.0,2020
Natural Sciences,Pick,7th,Male,7.0,2022
Engineering,WonnaBet,7th,Male,7.0,2022
Humanities and Social Sciences,menash,5th,,5.0,2021
Natural Sciences,Guidestar,5th,,5.0,2021
Engineering,avocadobox,11th,Male,11.0,2024
Business and Management,Sportii,7th,Male,7.0,2022
Engineering,GRIN,7th,Male,7.0,2022
Engineering,advertiseMe,4th,,4.0,2020
Natural Sciences,Shifty,10th,Male,10.0,2023
Natural Sciences,ChikChat,10th,Male,10.0,2023
Engineering,🌵 🎓PhotoFly,Cactus Academy,,,
Cognitive Science,Shalom Hebrew,5th,,5.0,2021
,Whilx,10th,Male,10.0,2023
,DeliGate,10th,Male,10.0,2023
Business and Management,🌵TravLR,Cactus Academy,,,
Business and Management,AllerBite,11th,Female,11.0,2024
Business and Management,MagneTube (a medical products),9th,Female,9.0,2023
Engineering,SHARED ACADEMY,6th,Male,6.0,2021
Business and Management,YogiForYou,4th,,4.0,2020
